UniqueCarrier,Description,AvgProdYear
9E,Pinnacle Airlines Inc.,
AA,American Airlines Inc.,1986.43
AQ,Aloha Airlines Inc.,1987.66
AS,Alaska Airlines Inc.,1995.68
B6,JetBlue Airways,2003.44
CO,Continental Air Lines Inc.,1994.79
DH,Independence Air,2001.33
DL,Delta Air Lines Inc.,1991.72
EA,Eastern Air Lines Inc.,
EV,Atlantic Southeast Airlines,2000.84
F9,Frontier Airlines Inc.,2003.55
FL,AirTran Airways Corporation,2001.72
HA,Hawaiian Airlines Inc.,2000.91
HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),1991.46
ML (1),Midway Airlines Inc. (1),
MQ,American Eagle Airlines Inc.,2001.77
NW,Northwest Airlines Inc.,1984.47
OH,Comair Inc.,1998.78
OO,Skywest Airlines Inc.,1999.91
PA (1),Pan American World Airways (1),
PI,Piedmont Aviation Inc.,
PS,Pacific Southwest Airlines,
TW,Trans World Airways LLC,1997.08
TZ,ATA Airlines d/b/a ATA,
UA,United Air Lines Inc.,1993.09
US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),1992.44
WN,Southwest Airlines Co.,1995.49
XE,Expressjet Airlines Inc.,2000.74
YV,Mesa Airlines Inc.,2000.57
