Year,UniqueCarrierCode,Description,NumCarrierProblems,NumPlanesThisYear
2003,AA,American Airlines Inc.,30541,912
2003,AS,Alaska Airlines Inc.,10059,114
2003,B6,JetBlue Airways,3419,55
2003,CO,Continental Air Lines Inc.,7673,366
2003,DH,Independence Air,14736,150
2003,DL,Delta Air Lines Inc.,25086,561
2003,EV,Atlantic Southeast Airlines,14503,162
2003,FL,AirTran Airways Corporation,4478,93
2003,HA,Hawaiian Airlines Inc.,634,28
2003,HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),10744,147
2003,MQ,American Eagle Airlines Inc.,20836,247
2003,NW,Northwest Airlines Inc.,23346,445
2003,OO,Skywest Airlines Inc.,15910,194
2003,TZ,ATA Airlines d/b/a ATA,2331,65
2003,UA,United Air Lines Inc.,20329,558
2003,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),18401,288
2003,WN,Southwest Airlines Co.,36779,393
2003,XE,Expressjet Airlines Inc.,9733,231
2004,AA,American Airlines Inc.,52752,775
2004,AS,Alaska Airlines Inc.,21896,111
2004,B6,JetBlue Airways,9028,70
2004,CO,Continental Air Lines Inc.,16564,363
2004,DH,Independence Air,19813,149
2004,DL,Delta Air Lines Inc.,59005,536
2004,EV,Atlantic Southeast Airlines,24207,143
2004,FL,AirTran Airways Corporation,7470,90
2004,HA,Hawaiian Airlines Inc.,2440,29
2004,HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),27261,150
2004,MQ,American Eagle Airlines Inc.,49524,486
2004,NW,Northwest Airlines Inc.,50902,404
2004,OH,Comair Inc.,41250,165
2004,OO,Skywest Airlines Inc.,40453,215
2004,TZ,ATA Airlines d/b/a ATA,4877,66
2004,UA,United Air Lines Inc.,43370,532
2004,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),38991,327
2004,WN,Southwest Airlines Co.,100561,608
2004,XE,Expressjet Airlines Inc.,20159,246
2005,AA,American Airlines Inc.,56791,711
2005,AS,Alaska Airlines Inc.,31077,112
2005,B6,JetBlue Airways,16274,93
2005,CO,Continental Air Lines Inc.,21193,353
2005,DH,Independence Air,10407,136
2005,DL,Delta Air Lines Inc.,54135,533
2005,EV,Atlantic Southeast Airlines,40853,180
2005,F9,Frontier Airlines Inc.,5289,49
2005,FL,AirTran Airways Corporation,13607,107
2005,HA,Hawaiian Airlines Inc.,2000,26
2005,HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),20984,151
2005,MQ,American Eagle Airlines Inc.,50475,269
2005,NW,Northwest Airlines Inc.,66429,396
2005,OH,Comair Inc.,36189,181
2005,OO,Skywest Airlines Inc.,51416,247
2005,TZ,ATA Airlines d/b/a ATA,2199,62
2005,UA,United Air Lines Inc.,51049,497
2005,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),54156,307
2005,WN,Southwest Airlines Co.,106493,451
2005,XE,Expressjet Airlines Inc.,26969,267
2006,AA,American Airlines Inc.,59639,702
2006,AQ,Aloha Airlines Inc.,2326,28
2006,AS,Alaska Airlines Inc.,21440,116
2006,B6,JetBlue Airways,17692,125
2006,CO,Continental Air Lines Inc.,26806,350
2006,DL,Delta Air Lines Inc.,48446,480
2006,EV,Atlantic Southeast Airlines,43136,159
2006,F9,Frontier Airlines Inc.,9029,55
2006,FL,AirTran Airways Corporation,14799,127
2006,HA,Hawaiian Airlines Inc.,2558,27
2006,MQ,American Eagle Airlines Inc.,63792,270
2006,NW,Northwest Airlines Inc.,56173,350
2006,OH,Comair Inc.,33223,175
2006,OO,Skywest Airlines Inc.,65761,263
2006,TZ,ATA Airlines d/b/a ATA,1829,30
2006,UA,United Air Lines Inc.,54226,461
2006,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),61567,466
2006,WN,Southwest Airlines Co.,122875,482
2006,XE,Expressjet Airlines Inc.,33916,275
2006,YV,Mesa Airlines Inc.,34771,160
2007,9E,Pinnacle Airlines Inc.,24330,141
2007,AA,American Airlines Inc.,74798,674
2007,AQ,Aloha Airlines Inc.,2341,27
2007,AS,Alaska Airlines Inc.,21768,128
2007,B6,JetBlue Airways,22522,140
2007,CO,Continental Air Lines Inc.,26152,358
2007,DL,Delta Air Lines Inc.,47168,449
2007,EV,Atlantic Southeast Airlines,57805,162
2007,F9,Frontier Airlines Inc.,11922,62
2007,FL,AirTran Airways Corporation,17154,137
2007,HA,Hawaiian Airlines Inc.,2958,30
2007,MQ,American Eagle Airlines Inc.,60358,269
2007,NW,Northwest Airlines Inc.,64134,356
2007,OH,Comair Inc.,31523,164
2007,OO,Skywest Airlines Inc.,71005,284
2007,UA,United Air Lines Inc.,58109,461
2007,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),90209,420
2007,WN,Southwest Airlines Co.,124427,863
2007,XE,Expressjet Airlines Inc.,37495,276
2007,YV,Mesa Airlines Inc.,35523,140
2008,9E,Pinnacle Airlines Inc.,10387,149
2008,AA,American Airlines Inc.,34082,655
2008,AQ,Aloha Airlines Inc.,275,20
2008,AS,Alaska Airlines Inc.,4843,119
2008,B6,JetBlue Airways,7644,141
2008,CO,Continental Air Lines Inc.,10768,360
2008,DL,Delta Air Lines Inc.,14683,450
2008,EV,Atlantic Southeast Airlines,15208,161
2008,F9,Frontier Airlines Inc.,4231,62
2008,FL,AirTran Airways Corporation,5566,141
2008,HA,Hawaiian Airlines Inc.,1027,29
2008,MQ,American Eagle Airlines Inc.,19315,259
2008,NW,Northwest Airlines Inc.,16614,319
2008,OH,Comair Inc.,8974,137
2008,OO,Skywest Airlines Inc.,17685,281
2008,UA,United Air Lines Inc.,20548,454
2008,US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),15373,361
2008,WN,Southwest Airlines Co.,49835,534
2008,XE,Expressjet Airlines Inc.,14688,275
2008,YV,Mesa Airlines Inc.,13014,126
