"UniqueCarrierCode","Description","NumSecurityProblems","AvgNumPlanes"
"9E","Pinnacle Airlines Inc.",89,145
"AA","American Airlines Inc.",2681,738.2
"AQ","Aloha Airlines Inc.",54,25
"AS","Alaska Airlines Inc.",2566,116.7
"B6","JetBlue Airways",2465,104
"CO","Continental Air Lines Inc.",4613,358.3
"DH","Independence Air",434,145
"DL","Delta Air Lines Inc.",665,501.5
"EV","Atlantic Southeast Airlines",983,161.2
"F9","Frontier Airlines Inc.",46,57
"FL","AirTran Airways Corporation",NA,115.8
"HA","Hawaiian Airlines Inc.",233,28.2
"HP","America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",1235,149.3
"MQ","American Eagle Airlines Inc.",743,300
"NW","Northwest Airlines Inc.",2335,378.3
"OH","Comair Inc.",797,164.4
"OO","Skywest Airlines Inc.",2537,247.3
"TZ","ATA Airlines d/b/a ATA",581,55.8
"UA","United Air Lines Inc.",189,493.8
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",1939,361.5
"WN","Southwest Airlines Co.",11193,555.2
"XE","Expressjet Airlines Inc.",4921,261.7
"YV","Mesa Airlines Inc.",511,142
