UniqueCarrier,TailNum,AvgDepDelay
9E,89779E,16.6463
9E,91709E,16.8542
AA,NOZ1AA,0.0000
AA,N5FNA1,2.2500
AQ,N726AL,3.2021
AQ,N809AL,3.4181
AS,N936AS,8.3387
AS,N938AS,8.4507
B6,N706JB,11.1795
B6,NJB,11.6154
CO,N41068,5.6054
CO,N13759,7.9199
DH,N427FJ,13.6400
DH,N413FJ,14.1311
DL,N415DA,1.4336
DL,N474DA,1.4479
EV,N912EV,2.0000
EV,N501AS,9.1667
F9,N804FR,12.6515
F9,N934FR,12.6826
FL,N344AT,15.4600
FL,N338AT,16.5165
HA,N483HA,4.3287
HA,N477HA,4.6963
HP,N832Aae,5.3922
HP,N831Aae,5.9647
MQ,-N503M,3.1538
MQ,N250MQ,4.3200
NW,N641US,3.9444
NW,N335N2,6.9792
OH,N866AS,9.6022
OH,N863AS,10.3257
OO,N198SW,2.6760
OO,N199SW,3.3526
TW,N5aMaae,3.7895
TW,N424aae,5.8005
TZ,N558TZ,11.3560
TZ,N551TZ,12.4719
UA,N487a1,5.8611
UA,N849a1,7.5000
US,-N912a,3.2500
US,-N937a,4.3158
WN,N412@@,2.2411
WN,N918WN,4.6250
XE,N14978,10.8764
XE,N38537,12.5926
YV,N646BR,8.0144
YV,N655BR,8.4686
