UniqueCarrier,tailnum,AvgDepDelay,iloscWystapien
,N9149E,,
,N9179E,,
,N853NW,,
AA,N428AA,13.5340,10385
AA,N486AA,13.6689,10585
AA,N278AA,13.7086,10170
AQ,N843AL,2.6851,343
AQ,N828AL,5.0664,2907
AQ,N823AL,5.2577,2697
AS,N626AA,9.1925,1195
AS,N619AA,10.0510,1315
AS,N625AA,10.5433,1246
B6,N706JB,10.4615,39
B6,N561JB,17.1544,4766
B6,N548JB,17.1568,5059
CO,N77066,10.3207,1266
CO,N39418,10.5825,103
CO,N14977,10.6897,261
DH,N693BR,22.7075,2810
DH,N686BR,23.0280,3182
DH,N709BR,23.8112,1282
DL,N37342,1.1620,2049
DL,N395DN,7.7871,7299
DL,N3731T,8.3018,6863
EV,N912EV,2.0000,13
EV,N376CA,13.3077,13
EV,N866AS,13.6047,3924
F9,N804FR,12.0305,3214
F9,N934FR,12.1303,3223
F9,N922FR,12.4137,3220
FL,N344AT,14.4200,50
FL,N338AT,15.7253,91
FL,N284AT,18.3181,2301
HA,N479HA,3.1109,5381
HA,N477HA,3.1148,5295
HA,N486HA,3.1499,5497
HP,N677AW,8.5032,616
HP,N837AW,9.0226,133
HP,N675AW,9.6868,728
MQ,N313AE,13.0387,1911
MQ,N317AE,13.8039,2127
MQ,N394AE,15.0272,2610
NW,N803NW,6.8276,29
NW,N626AA,10.0455,22
NW,N370NB,11.4715,3069
OH,N866AS,9.0731,465
OH,N863AS,9.6580,614
OH,N864AS,9.8681,455
OO,N591SW,6.8919,4821
OO,N590SW,6.9144,4673
OO,N594SW,6.9570,4907
TW,N24211,8.3547,654
TW,N706TW,11.5606,2781
TW,N711ZX,11.9797,3100
UA,N218UA,8.5116,346
UA,N224UA,9.8880,357
UA,N214UA,11.0738,3443
US,N440AA,11.8158,1053
US,N840AW,11.9133,2088
US,N587AA,12.0183,1038
WN,N918WN,3.9688,64
WN,N912WN,9.5757,304
WN,N271WN,9.5998,1212
XE,N17513,15.8357,3385
XE,N14186,16.0807,1822
XE,N12528,16.5169,3587
YV,N646BR,7.5965,3197
YV,N655BR,8.0448,2992
YV,N693BR,8.8832,3664
