"UniqueCarrierCode","Description","NumCarrierProblems","NumPlanes"
"9E","Pinnacle Airlines Inc.",73,146
"AA","American Airlines Inc.",538,1593
"AQ","Aloha Airlines Inc.",5,51
"AS","Alaska Airlines Inc.",159,256
"B6","JetBlue Airways",123,148
"CO","Continental Air Lines Inc.",171,615
"DH","Independence Air",71,159
"DL","Delta Air Lines Inc.",407,1287
"EV","Atlantic Southeast Airlines",323,200
"F9","Frontier Airlines Inc.",62,61
"FL","AirTran Airways Corporation",92,151
"HA","Hawaiian Airlines Inc.",17,29
"HP","America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",70,322
"MQ","American Eagle Airlines Inc.",417,837
"NW","Northwest Airlines Inc.",435,883
"OH","Comair Inc.",225,205
"OO","Skywest Airlines Inc.",434,313
"TZ","ATA Airlines d/b/a ATA",15,64
"UA","United Air Lines Inc.",395,1241
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",422,1223
"WN","Southwest Airlines Co.",926,1435
"XE","Expressjet Airlines Inc.",239,280
"YV","Mesa Airlines Inc.",131,150
