"UniqueCarrierCode","Description","NumCarProblems","AvgNumPlanes"
"9E","Pinnacle Airlines Inc.",73,129.5
"AA","American Airlines Inc.",538,487.2
"AQ","Aloha Airlines Inc.",5,16.7
"AS","Alaska Airlines Inc.",159,97.2
"B6","JetBlue Airways",123,82.2
"CO","Continental Air Lines Inc.",171,233.8
"DH","Independence Air",71,117
"DL","Delta Air Lines Inc.",407,367.5
"EV","Atlantic Southeast Airlines",323,142.7
"F9","Frontier Airlines Inc.",62,48.8
"FL","AirTran Airways Corporation",92,100.8
"HA","Hawaiian Airlines Inc.",17,19.8
"HP","America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",70,121.3
"MQ","American Eagle Airlines Inc.",417,260
"NW","Northwest Airlines Inc.",435,286.5
"OH","Comair Inc.",225,144.8
"OO","Skywest Airlines Inc.",434,227
"TZ","ATA Airlines d/b/a ATA",15,38.3
"UA","United Air Lines Inc.",395,331.8
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",422,269.7
"WN","Southwest Airlines Co.",926,465.3
"XE","Expressjet Airlines Inc.",239,225
"YV","Mesa Airlines Inc.",131,127.7
