"UniqueCarrierCode","Description","ProblemsPerPlane"
"9E","Pinnacle Airlines Inc.",0.56
"AA","American Airlines Inc.",1.1
"AQ","Aloha Airlines Inc.",0.3
"AS","Alaska Airlines Inc.",1.64
"B6","JetBlue Airways",1.5
"CO","Continental Air Lines Inc.",0.73
"DH","Independence Air",0.61
"DL","Delta Air Lines Inc.",1.11
"EV","Atlantic Southeast Airlines",2.26
"F9","Frontier Airlines Inc.",1.27
"FL","AirTran Airways Corporation",0.91
"HA","Hawaiian Airlines Inc.",0.86
"HP","America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",0.58
"MQ","American Eagle Airlines Inc.",1.6
"NW","Northwest Airlines Inc.",1.52
"OH","Comair Inc.",1.55
"OO","Skywest Airlines Inc.",1.91
"TZ","ATA Airlines d/b/a ATA",0.39
"UA","United Air Lines Inc.",1.19
"US","US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",1.56
"WN","Southwest Airlines Co.",1.99
"XE","Expressjet Airlines Inc.",1.06
"YV","Mesa Airlines Inc.",1.03
