city,totalFlights,avgLateAircraftDelay,Latitude,Longitude
"""Newark""",97134,56.0527,40.69249721992112,-74.16866055990833
"""Chantilly""",44661,55.8891,38.94453193997976,-77.45580971996849
"""Greensboro""",5240,50.6500,36.09774694000148,-79.93729749998965
"""San Juan""",11575,50.1675,18.43941667000092,-66.00183333001544
"""Chicago""",337093,49.2375,41.94418862084764,-87.87666030266287
"""Rochester""",9774,48.8572,43.26887289121607,-80.48764067131127
"""San Francisco""",59132,48.7410,37.61900193994696,-122.37484330010196
"""Des Moines""",5905,48.4999,41.53493306000018,-93.66068222000868
"""Honolulu""",6749,48.2187,21.318691110002494,-157.9224071999865
"""Philadelphia""",78414,48.0841,39.871952780046996,-75.24114083006262
"""Charleston""",6046,47.6383,33.77061922753276,-80.2878155531432
"""Madison""",5255,47.6185,43.13985778000532,-89.3375136100069
"""Savannah""",5184,47.5513,32.127583330001805,-81.20213888999268
"""New York""",121620,46.8883,40.71757955775067,-73.83195593711879
"""Boston""",56641,46.5324,42.364347499995574,-71.00517917004595
"""Richmond""",7372,46.5147,37.50516666999546,-77.3196666700004
"""Pensacola""",5002,46.3507,30.47330555999872,-87.18744443999003
"""Dayton""",5654,46.0596,39.90237582999618,-84.21937499999002
"""Fayetteville/Springdale/Rogers""",5748,45.8027,36.28186943999758,-94.30681111000011
"""Buffalo""",13822,45.7937,42.94052472000411,-78.73216667000894
"""Jackson""",7337,45.5217,34.455850791234916,-93.99873979144502
"""Cleveland""",31096,45.3880,41.4108941700092,-81.84939666996321
"""Syracuse""",6417,45.2679,43.11118693999567,-76.10631056000629
"""Pittsburgh""",22905,45.2571,40.49146583000936,-80.23287082999097
"""Milwaukee""",9101,45.2189,42.947222220008115,-87.89658333000249
"""Norfolk""",9604,45.2041,36.89461110999687,-76.20122222000137
"""Anchorage""",10035,44.8818,61.17432028000715,-149.99618559999828
"""Denver""",101695,44.7213,39.858408059948864,-104.66700189992602
"""Atlanta""",194947,44.6906,33.64044443989611,-84.42694444020105
"""Grand Rapids""",6384,44.4486,42.8808197200045,-85.52276777999943
"""Boise""",6721,44.4449,43.564444440004344,-116.22277780001394
"""Albany""",7399,44.2635,42.5541454748201,-73.98274767664573
"""Oklahoma City""",11399,43.7092,35.393088329994626,-97.60073388998632
"""Little Rock""",10105,43.6786,34.72939610999446,-92.22424556000574
"""Raleigh""",29376,43.4661,35.87763888997127,-78.7874722199768
"""Birmingham""",9547,43.2599,33.56294306000453,-86.7535497200097
"""Houston""",103414,43.2548,29.847973932369396,-95.31560302959971
"""Columbus""",16881,43.2415,39.924857350865864,-82.91189056535447
"""Tulsa""",10220,43.1993,36.19837221999674,-95.88824166998532
"""Indianapolis""",16631,42.9470,39.71732916998422,-86.29438417001096
"""Jacksonville""",14145,42.7558,30.509379380706005,-81.67345416998377
"""Manchester""",9292,42.7136,42.934516390009755,-71.43705583001736
"""Lubbock""",5649,42.3955,33.66363888999579,-101.82277779998935
"""Providence""",11802,42.3527,41.723999170003644,-71.42822111001433
"""Omaha""",10353,42.3353,41.30251861000985,-95.89417305998634
"""Tampa""",36299,41.8544,27.975472219988692,-82.53324999998647
"""Orlando""",59533,41.8117,28.428888889975372,-81.31602778004446
"""Baltimore""",57633,41.8024,39.17540166997003,-76.66819832997012
"""Nashville""",32620,41.6745,36.124476670028926,-86.67818222005138
"""Arlington""",37446,41.6074,38.85208333002563,-77.03772222001987
