city,totalFlights,avgLateAircraftDelay,avgWeatherDelay,Latitude,Longitude
"""Miami""",2493,62.8949,18.1235,25.793250000000963,-80.29055556000083
"""Philadelphia""",2155,78.3480,17.2325,39.87195277999887,-75.24114083000089
"""Chantilly""",965,82.8197,16.6238,38.944531939999685,-77.45580972
"""Dallas-Fort Worth""",32065,63.4564,15.1689,32.8959505599937,-97.0372000000174
"""Baltimore""",2013,81.1580,15.1456,39.17540166999972,-76.66819832999845
"""Chicago""",26098,71.1640,14.9183,41.95807343274211,-87.88756374637059
"""Denver""",3221,58.9690,13.9857,39.85840805999835,-104.66700189999464
"""Arlington""",2074,71.1851,13.6673,38.85208332999928,-77.03772222000181
"""Detroit""",2228,44.7482,13.5772,42.212058889999774,-83.34883582999673
"""Tampa""",1658,56.5989,13.4536,27.975472220000793,-82.53324999999722
"""Boston""",3161,62.6406,13.3825,42.36434749999916,-71.00517916999694
"""Memphis""",757,51.2206,13.1374,35.042416669999724,-89.97666667000115
"""Charlotte""",1136,53.7130,13.0044,35.214011110000854,-80.9431258300016
"""Orlando""",2412,52.0162,12.8972,28.428888889999055,-81.31602778000327
"""Minneapolis""",1668,46.7620,12.8957,44.88054694000069,-93.21692249999845
"""Kansas City""",730,56.8973,12.6945,39.29760528000036,-94.71390555999868
"""Los Angeles""",806,50.3065,12.6563,33.9425361100002,-118.40807439999885
"""New Orleans""",521,53.0115,12.4453,29.993388889999668,-90.25802778000055
"""New York""",7585,74.2788,12.4212,40.747297548938796,-73.8522050403025
"""Pittsburgh""",896,58.4487,12.3482,40.49146582999998,-80.23287082999938
"""Ft. Lauderdale""",1189,52.1674,11.9209,26.072583329999368,-80.15274999999859
"""Houston""",18104,67.2807,11.8998,29.949951810794328,-95.33417458966095
"""Las Vegas""",2197,68.7929,11.6937,36.08036110999857,-115.15233330000206
"""Dallas""",1208,77.7260,11.3121,32.847113889999285,-96.85177222000166
"""Austin""",696,56.7744,11.2945,30.194532779999886,-97.66987194000069
"""Phoenix""",955,56.9309,11.1068,33.43416666999929,-112.00805560000192
"""Newark""",7286,78.0183,11.0751,40.69249722000518,-74.16866055999505
"""Columbus""",503,54.1312,10.7972,39.99798528000001,-82.89188278000057
"""Atlanta""",8286,62.7381,10.6488,33.64044444000491,-84.42694443999804
"""San Francisco""",810,58.1852,10.5136,37.619001939999244,-122.37484330000005
"""Salt Lake City""",605,46.2744,10.3917,40.78838778000038,-111.9777730999998
"""San Diego""",723,53.1065,10.2130,32.73355611000049,-117.18965669999868
"""Raleigh""",1165,57.4867,10.0275,35.87763889000039,-78.78747222000162
"""Covington""",904,50.2456,9.5741,39.04614277999982,-84.66217250000042
"""St Louis""",1248,53.8053,9.2308,38.747686939999824,-90.35998972000061
"""Burbank""",601,42.1464,9.0998,34.20061916999982,-118.35849689999972
"""Cleveland""",1973,61.7319,8.6731,41.410894170000425,-81.8493966700021
